report_id,country,report_title,publication_date,landing_url,pdf_url,recommendation_id,original_text,priority,timeframe,table_group,recommendation_printed_page,body_section,body_context_printed_page,specificity_score,specificity_justification,specificity_evidence,actionability_score,actionability_justification,actionability_evidence,internal_consistency_score,internal_consistency_justification,internal_consistency_evidence,evidence_status,overall_score,overall_assessment
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-003,"Ensure measures regarding counterparties access to monetary policy operations are as automatic as possible, within a framework of rules.",High,Near-term,Counterparty eligibility for Monetary Policy Operations,8,II.D. Counterparty Framework at the NBU,17,3,"It clearly calls for rule-based automatic measures for counterparty access, but does not specify ownership, triggers, or implementation sequence.","as automatic as possible, within a framework of rules",3,"The direction is implementable, but the applicable rules, triggers, and exceptions require material clarification.",Ensure measures regarding counterparties access to monetary policy operations are as automatic as possible,5,"The report directly supports rule-based, automatic application of measures, especially limitation.","Making application of the measures, especially limitation, as rule-based and automatic as possible prevents creating undesired precedents and ensures predictability for counterparties.",supported,3.7,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-004,"Set-up an institutionalized dialogue between banking supervision and markets operations, so counterparties can be pro-actively limited/suspended.",High,Near-term,Counterparty eligibility for Monetary Policy Operations,8,II.D. Counterparty Framework at the NBU,17,4,"It specifies the institutional participants, mechanism, and intended use, with only detailed governance and escalation arrangements absent.","between banking supervision and markets operations, so counterparties can be pro-actively limited/suspended",3,"Establishing the dialogue is concrete, but information flows, decision rights, triggers, and operating cadence require material clarification.",Set-up an institutionalized dialogue between banking supervision and markets operations,5,The report explicitly calls for an institutionalized IBSD-OMOD dialogue to provide current solvency information and enable prudential measures.,An institutionalized dialogue between Integrated Banking Supervision Department (IBSD) and Open Market Operations Department (OMOD) should be established,supported,4.0,High
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-005,Prepare an implementation strategy and roadmap regarding the new eligibility criteria and measures.,High,Medium-term,Counterparty eligibility for Monetary Policy Operations,8,II.D. Counterparty Framework at the NBU,18,3,"It specifies a strategy and roadmap for identified reforms, but lacks an owner, milestones, sequencing, and completion criteria.",Prepare an implementation strategy and roadmap regarding the new eligibility criteria and measures.,3,"Preparing a roadmap is implementable, but its governance, contents, timing, and dependencies need material clarification.",implementation strategy and roadmap,4,"The report supports phasing in the new criteria and measures, while qualifying that short-term financial-stability effects must be prevented and ELA must be available as a backstop.","The NBU can in principle phase in the new counterparty eligibility criteria based on financial soundness and the accompanying measures soon, provided that this does not create negative short-term effects for financial stability.",partially_supported,3.3,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-006,Set the interest rate on ELA as a fixed spread over the overnight loans rate.,High,Near-term,Emergency Liquidity Assistance and its Collateral Framework,8,III.B. ELA Regulation - ELA Interest Rate,23,3,"It specifies the ELA pricing method and reference rate, but omits the spread amount, responsible owner, and effective date.",as a fixed spread over the overnight loans rate,3,"The pricing-rule change is implementable, but the spread level and formal implementation arrangements need clarification.",Set the interest rate on ELA as a fixed spread,5,The report directly recommends a fixed spread over the overnight lending facility to preserve ELA's penalty character.,"the interest rate on ELA should be defined as a fixed spread (for instance, of 200 bps) over the overnight lending facility and not the key policy rate.",supported,3.7,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-007,Set the maturity of any ELA loan at up to two weeks.,High,Near-term,Emergency Liquidity Assistance and its Collateral Framework,8,III.B. ELA Regulation - ELA Maturity and Time Limit,23,3,"It gives a precise parameter and maximum maturity, but omits the responsible owner and implementation details.",Set the maturity of any ELA loan at up to two weeks.,3,"The maturity cap is directly implementable, but regulatory ownership and transition arrangements are not supplied.",maturity of any ELA loan at up to two weeks,5,The report explicitly recommends a two-week maximum maturity to support frequent monitoring and conditionality.,The NBU’s ELA regulation should clearly set the maturity of any ELA loan at up to two weeks.,supported,3.7,Medium
ukraine_counterparty_eligibility_and_ela_2025,Ukraine,Ukraine: Technical Assistance Report-Review of the Counterparty Eligibility for Monetary Policy Operations and the Emergency Liquidity Assistance Framework,2025-06-25,https://www.imf.org/en/publications/technical-assistance-reports/issues/2025/06/25/ukraine-technical-assistance-report-review-of-the-counterparty-eligibility-for-monetary-568011,https://www.imf.org/-/media/files/publications/tar/2025/english/tarea2025067-print-pdf.pdf,UKR-008,Add collateral accepted for monetary policy operations to the eligible collateral for ELA.,High,Near-term,Emergency Liquidity Assistance and its Collateral Framework,8,III.B. ELA Regulation - Collateral Framework for ELA,24,3,"It clearly identifies the collateral set to add to ELA eligibility, but omits responsible ownership, haircuts, and implementation sequencing.",Add collateral accepted for monetary policy operations to the eligible collateral for ELA.,3,"The eligibility expansion is implementable, but the applicable haircuts, valuation rules, and regulatory amendments require clarification.",Add collateral accepted for monetary policy operations,5,"The report directly recommends accepting all MPO collateral for ELA, with appropriate haircuts.","The NBU should add the collateral accepted for monetary policy operations to the eligible collateral for ELA, with an appropriate haircut.",supported,3.7,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-001,Elaborate and approve road map for modernizing monetary policy operational framework.,High,Short-term,Modernization of monetary operations framework: 1st stage,7,II.E. Modernization of Monetary Operations Framework. Recommendations,19,3,"It specifies developing and approving a roadmap and its subject, but omits the approving authority, detailed scope, and sequencing.",Elaborate and approve road map for modernizing monetary policy operational framework.,3,"Developing and approving a roadmap is implementable, but the responsible unit, approval route, and roadmap contents require clarification.",Elaborate and approve road map,5,The body explicitly proposes elaborating the roadmap and submitting it to the Monetary Board for approval as an immediate-stage action.,elaborate the road map based on the mission’s recommendations and submit it for approval by the Monetary Board.,supported,3.7,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-002,Remove restrictions for access to standing facilities.,High,Short-term,Modernization of monetary operations framework: 1st stage,7,II.E. Modernization of Monetary Operations Framework. Recommendations,20,3,"It clearly identifies the action and instrument, but does not specify which restrictions, responsible authority, or implementation process.",Remove restrictions for access to standing facilities.,3,"The core change is implementable, but the restrictions to repeal and operational steps are not stated.",Remove restrictions,5,The body explicitly recommends abolishing the administrative restrictions at the immediate stage.,Restrictions on access to standing facilities should be abolished at this immediate stage.,supported,3.7,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-003,Widen IRC to encourage interbank activity and redistribute liquidity in the system .,High,Short-term,Modernization of monetary operations framework: 1st stage,7,II.E. Modernization of Monetary Operations Framework. Recommendations,21,3,"The action, instrument, and intended outcomes are clear, but the required corridor width, owner, and calibration are absent.",Widen IRC to encourage interbank activity and redistribute liquidity in the system .,3,"Widening the corridor is a concrete policy action, but the magnitude and operational decision process need material clarification.",Widen IRC,5,The report supports widening the corridor in the first stage to redistribute liquidity through collateralized transactions and reduce standing-facility use.,widening corridor will help to redistribute liquidity via collateralized transactions.,supported,3.7,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-004,Operationalize the ELA framework .,High,Short-term,Modernization of monetary operations framework: 1st stage,8,II.E. Modernization of Monetary Operations Framework. Recommendations,20,2,"It identifies the framework to operationalize, but omits responsible actors, scope, procedures, and timing.",Operationalize the ELA framework .,2,"The intended action is identifiable, but the necessary design, governance, funding, and coordination steps are not specified.",Operationalize the ELA framework,5,The body states that successful modernization necessitates an operational ELA framework and describes its role in separating troubled banks from standard OMOs.,A successful modernization of the monetary policy framework will necessitate an operational ELA framework,supported,3.0,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-005,Introduce SRR for FX liabilities in foreign currency .,High,Medium-term,Modernization of monetary operations framework: 2nd stage,8,II.E. Modernization of Monetary Operations Framework. Recommendations,23,3,"It clearly specifies introducing SRR for FX liabilities and the fulfillment currency, but omits the implementing authority, calibration, and condition for introduction.",Introduce SRR for FX liabilities in foreign currency .,3,"The core policy action is implementable, but its rate, safeguards, and stated preconditions require material clarification.",SRR for FX liabilities in foreign currency,4,"The report recommends this measure for dedollarization and requires fulfillment in foreign currency, but conditions implementation on an improved financial-system situation.",an improved situation in the financial system will allow banks to allocate enough FX liquidity to fulfill SRR in foreign currency.,partially_supported,3.3,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-006,Introduce fine tuning operations if (please add the conditions here).,High,Medium-term,Modernization of monetary operations framework: 2nd stage,8,II.E. Modernization of Monetary Operations Framework. Recommendations,23,2,It identifies fine-tuning operations but leaves the triggering conditions explicitly unspecified.,Introduce fine tuning operations if (please add the conditions here).,2,"An action is named, but its conditions for use are missing, preventing an operationally complete instruction.",please add the conditions here,5,The report explicitly states that fine-tuning operations should address sudden autonomous-factor changes not captured in liquidity forecasts.,Fine tuning operations should be employed to address the impact of sudden changes in autonomy factors which are not captured in the liquidity forecasts.,supported,3.0,Medium
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-007,Develop a comprehensive liquidity monitoring table with clear presentation of autonomous factors and CBSL liquidity operations.,High,Short-term,Liquidity monitoring,8,III.B. Recommendations,29,4,"It specifies the deliverable and its required content and presentation; only ownership, format details, and completion criteria are absent.",Develop a comprehensive liquidity monitoring table with clear presentation of autonomous factors and CBSL liquidity operations.,3,"The deliverable is concrete, but implementation responsibilities, data sources, and adoption steps are not specified.",Develop a comprehensive liquidity monitoring table,5,"The report proposes an alternative table that presents autonomous factors first and CBSL liquidity actions next, with a main summary table and detailed sub-sheets.",The autonomous factors will be presented and summarized as the first bloc of liquidity impact and the liquidity effect of all actions by the CBSL will follow.,supported,4.0,High
sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,Sri Lanka: Technical Assistance Report-Liquidity Monitoring and Monetary Operations,2024-09-20,https://www.elibrary.imf.org/view/journals/019/2024/078/019.2024.issue-078-en.xml,https://www.imf.org/-/media/files/publications/tar/2024/english/tarea2024078-print-pdf.pdf,LKA-008,Introduce single policy rate as mid-rate for interest rate corridor.,High,Short-term,Other,8,II.E. Modernization of Monetary Operations Framework. Recommendations,20,3,"It specifies the policy change and intended placement within the corridor, but omits ownership, transition details, and timing.",Introduce single policy rate as mid-rate for interest rate corridor.,3,"The policy change is implementable, but the process for replacing the two rates and communicating the transition is unspecified.",Introduce single policy rate,5,The report proposes replacing the two policy rates with a single rate to strengthen signaling and steer market rates toward the desired level.,The mission proposes to replace the two policy rates with a single one,supported,3.7,Medium
