recommendation_id,report_slug,country,publication_date,table_order,selected_rank,table_group,recommendation_text_verbatim,table_paragraph_refs,priority,timeframe,recommendation_printed_page,recommendation_pdf_page_index,body_section,body_paragraphs_verified,body_context_printed_page,body_context_pdf_page_index,context_excerpt_verbatim,assessment_domain,selection_rationale,uncertainty_note
UKR-003,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,3,3,Counterparty eligibility for Monetary Policy Operations,"Ensure measures regarding counterparties access to monetary policy operations are as automatic as possible, within a framework of rules.",¶37,High,Near-term,8,7,II.D. Counterparty Framework at the NBU,¶36,17,16,"Making application of the measures, especially limitation, as rule-based and automatic as possible prevents creating undesired precedents and ensures predictability for counterparties.",rule_based_counterparty_controls,High-priority recommendation supporting predictable monetary-operation access controls.,"The rendered table cites ¶37, but the matching body text is ¶36; ¶37 discusses the supervisory-markets dialogue."
UKR-004,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,4,4,Counterparty eligibility for Monetary Policy Operations,"Set-up an institutionalized dialogue between banking supervision and markets operations, so counterparties can be pro-actively limited/suspended.",¶38,High,Near-term,8,7,II.D. Counterparty Framework at the NBU,¶37,17,16,"An institutionalized dialogue between Integrated Banking Supervision Department (IBSD) and Open Market Operations Department (OMOD) should be established, providing the latter with up-to-date developments on solvency issues in particular.",supervision_market_operations_coordination,Links supervisory solvency information to monetary-operation eligibility decisions.,"The rendered table cites ¶38, but the matching discussion begins in ¶37 and continues onto printed page 18."
UKR-005,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,5,5,Counterparty eligibility for Monetary Policy Operations,Prepare an implementation strategy and roadmap regarding the new eligibility criteria and measures.,¶39,High,Medium-term,8,7,II.D. Counterparty Framework at the NBU,¶38,18,17,"The NBU can in principle phase in the new counterparty eligibility criteria based on financial soundness and the accompanying measures soon, provided that this does not create negative short-term effects for financial stability.",counterparty_framework_implementation,Turns the eligibility reforms into a sequenced implementation program.,"The rendered table cites ¶39, but the matching body text is ¶38; ¶39 opens the ELA section."
UKR-006,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,6,6,Emergency Liquidity Assistance and its Collateral Framework,Set the interest rate on ELA as a fixed spread over the overnight loans rate.,¶59,High,Near-term,8,7,III.B. ELA Regulation - ELA Interest Rate,¶57–58,23,22,The interest rate for ELA loans should be adjusted to reflect its penalty nature in the context of the current monetary policy operational framework of the NBU.,emergency_liquidity_assistance_pricing,Direct design parameter for lender-of-last-resort operations.,"The rendered table cites ¶59, but the matching recommendation is ¶58; ¶59 describes the existing ELA maturity."
UKR-007,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,7,7,Emergency Liquidity Assistance and its Collateral Framework,Set the maturity of any ELA loan at up to two weeks.,¶61,High,Near-term,8,7,III.B. ELA Regulation - ELA Maturity and Time Limit,¶59–60,23,22,The NBU’s ELA regulation should clearly set the maturity of any ELA loan at up to two weeks.,emergency_liquidity_assistance_maturity,Direct maturity parameter for emergency central-bank lending.,"The rendered table cites ¶61, but the matching recommendation is ¶60; ¶61 opens the collateral discussion."
UKR-008,ukraine_counterparty_eligibility_and_ela_2025,Ukraine,2025-06-25,8,8,Emergency Liquidity Assistance and its Collateral Framework,Add collateral accepted for monetary policy operations to the eligible collateral for ELA.,¶66,High,Near-term,8,7,III.B. ELA Regulation - Collateral Framework for ELA,¶62–65,24,23,"The NBU should add the collateral accepted for monetary policy operations to the eligible collateral for ELA, with an appropriate haircut.",emergency_liquidity_assistance_collateral,Connects standard monetary-operation collateral to the ELA framework.,"The rendered table cites ¶66, but the matching recommendation is ¶65; ¶66 discusses central-bank discretion over collateral selection."
LKA-001,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,1,1,Modernization of monetary operations framework: 1st stage,Elaborate and approve road map for modernizing monetary policy operational framework.,¶23,High,Short-term,7,6,II.E. Modernization of Monetary Operations Framework. Recommendations,¶23,19,18,The mission recommends a phased approach for modernizing monetary policy instruments and operations.,monetary_operations_roadmap,Sets the sequencing framework for the full monetary-operations reform program.,
LKA-002,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,3,2,Modernization of monetary operations framework: 1st stage,Remove restrictions for access to standing facilities.,¶29,High,Short-term,7,6,II.E. Modernization of Monetary Operations Framework. Recommendations,¶29,20,19,Restrictions on access to standing facilities should be abolished at this immediate stage.,standing_facilities_access,Directly changes access to a core monetary-policy instrument.,
LKA-003,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,4,3,Modernization of monetary operations framework: 1st stage,Widen IRC to encourage interbank activity and redistribute liquidity in the system .,¶31,High,Short-term,7,6,II.E. Modernization of Monetary Operations Framework. Recommendations,¶31,21,20,Central Bank of Sri Lanka can consider widening IR corridor already at the first stage.,interest_rate_corridor,Direct interest-rate-corridor recommendation intended to improve liquidity distribution.,The source table contains a space before the final period; it is preserved verbatim.
LKA-004,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,8,4,Modernization of monetary operations framework: 1st stage,Operationalize the ELA framework .,¶26,High,Short-term,8,7,II.E. Modernization of Monetary Operations Framework. Recommendations,¶26,20,19,A successful modernization of the monetary policy framework will necessitate an operational ELA framework to deal with liquidity shortages of troubled banks.,emergency_liquidity_assistance,Separates emergency lending from standard open-market operations.,The source table contains a space before the final period; it is preserved verbatim.
LKA-005,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,9,5,Modernization of monetary operations framework: 2nd stage,Introduce SRR for FX liabilities in foreign currency .,¶42,High,Medium-term,8,7,II.E. Modernization of Monetary Operations Framework. Recommendations,¶42,23,22,The CBSL should introduce SRR for FX liabilities for macroprudential objective as part of a comprehensive framework aimed at dedollarization and promoting its own currency.,foreign_currency_reserve_requirements,Directly changes the foreign-currency reserve-requirement instrument.,The source table contains a space before the final period; it is preserved verbatim.
LKA-006,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,13,6,Modernization of monetary operations framework: 2nd stage,Introduce fine tuning operations if (please add the conditions here).,¶38,High,Medium-term,8,7,II.E. Modernization of Monetary Operations Framework. Recommendations,¶38,23,22,Fine tuning operations should be employed to address the impact of sudden changes in autonomy factors which are not captured in the liquidity forecasts.,fine_tuning_operations,Intentionally retained as a low-specificity and actionability edge case for extraction and assessment testing.,"The rendered source table visibly contains the editorial placeholder 'please add the conditions here'; this is source wording, not an extraction error. Body ¶38 supplies the substantive condition."
LKA-007,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,21,7,Liquidity monitoring,Develop a comprehensive liquidity monitoring table with clear presentation of autonomous factors and CBSL liquidity operations.,"¶63, ¶66",High,Short-term,8,7,III.B. Recommendations,"¶63, ¶66",29,28,The mission proposed an alternative Liquidity Monitoring Table to be considered and adopted by the CBSL. (Appendix II).,liquidity_monitoring,Provides the information base required to calibrate monetary operations.,
LKA-008,sri_lanka_liquidity_monitoring_and_monetary_operations_2024,Sri Lanka,2024-09-20,24,8,Other,Introduce single policy rate as mid-rate for interest rate corridor.,¶27,High,Short-term,8,7,II.E. Modernization of Monetary Operations Framework. Recommendations,¶27,20,19,"The mission proposes to replace the two policy rates with a single one, aligning with the overwhelming practice among central banks.",policy_rate_design,Direct recommendation on the central bank's policy-rate architecture.,
